matnr;bwkey;bwtar;stprs;peinh;bklas
000000000004400012;E110;;2140;1000;3010
000000000004400013;E110;;750;1000;3010
000000000004400014;E110;;0.01;1000;3010
000000000004400015;E110;;6020;1000;3010
000000000004400016;E110;;1169.95;1000;3010
000000000004400019;E110;;4900;1000;3010
000000000004400020;E110;;750;1000;3010
000000000004400021;E110;;0.01;1000;3010
000000000004400023;E110;;2500;1000;3010
000000000005000000;E110;;479999.98;1000;3050
000000000005000001;E110;;699999.08;1000;3050
000000000005000002;E110;;624950.83;1000;3050
000000000005000003;E110;;395000;1000;3050
000000000005000004;E110;;490000;1000;3050
000000000005000005;E110;;60000.01;1000;3050
000000000005000006;E110;;117500;1000;3050
000000000005000007;E110;;135000;1000;3050
000000000005000008;E110;;47945.04;1000;3050
000000000005000009;E110;;141149.57;1000;3050
000000000005000010;E110;;66733.94;1000;3050
000000000005000011;E110;;130000;1000;3050
000000000005000012;E110;;150000;1000;3050
000000000005000014;E110;;490000;1000;3050
000000000005000018;E110;;1200000;1000;3050
000000000005000020;E110;;130000;1000;3050
000000000005200000;E110;;2302337.64;1000;3030
000000000005200001;E110;;12000000;1000;3030
000000000005200002;E110;;20857142.86;1000;3030
000000000005200003;E110;;1354864.86;1000;3030
000000000005200004;E110;;2000000;1000;3030
000000000005200005;E110;;2490769.23;1000;3030
000000000005200006;E110;;4000000;1000;3030
000000000005200007;E110;;1145652.17;1000;3030
000000000005200008;E110;;6000000;1000;3030
000000000005200009;E110;;6200000;1000;3030
000000000005200010;E110;;13000000;1000;3030
000000000005200011;E110;;3300000;1000;3030
000000000005200012;E110;;3400000;1000;3030
000000000005200013;E110;;2000000;1000;3030
000000000005200014;E110;;3000000;1000;3030
000000000005200015;E110;;2650000;1000;3030
000000000005200016;E110;;4000000;1000;3030
000000000005200017;E110;;12000000;1000;3030
000000000005200018;E110;;1600000;1000;3030
000000000005200019;E110;;7000000;1000;3030
000000000005200020;E110;;1200000;1000;3030
000000000005200021;E110;;3722221.67;1000;3030
000000000005200028;E110;;6200000;1000;3030
000000000005200029;E110;;7000000;1000;3030
000000000005200030;E110;;12194285.71;1000;3030
000000000005200031;E110;;6800000;1000;3030
000000000005200032;E110;;5800000;1000;3030
000000000005200033;E110;;3600000;1000;3030
000000000005200035;E110;;11790000;1000;3030
000000000005200036;E110;;7700000;1000;3030
000000000005200037;E110;;42000000;1000;3030
000000000005200038;E110;;20000000;1000;3030
000000000005200044;E110;;12000000;1000;3030
